ID,Language,Tipo,URL,"URL anterior",Sitio,Nombre,Email,Tel,Motivo,Moto,Comentario,Fichero,¿Enviado?,IP,Fecha
24689,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/accesorios-triumph/,España,,test21.5@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 13:08:08+00"
24688,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/motos-triumph/145-limited-one-bobber-caferacer/?id_afiliado=T53c11b4&utm_source=Tamarit_Affiliator&utm_campaign=probando+contador+leads+21,España,,test21@gmail.com,"() ",,,,,No,77.111.246.40,"2025-05-29 13:03:19+00"
24687,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/moto-triumph/154-absolut-thruxton-1200rs-caferacer/?id_afiliado=T53c11b4&utm_source=Tamarit_Affiliator&utm_campaign=probando+contador+leads+20,España,,test20@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 12:56:02+00"
24686,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/?prev_url=https%3A%2F%2Ftamaritmotorcycles.com%2Fmoto-triumph%2F154-absolut-thruxton-1200rs-caferacer%2F%3Fid_afiliado%3DT53c11b4%26utm_source%3DTamarit_Affiliator%26utm_campaign%3Dprobando%2Bcontador%2Bleads%2B19&contact_id=&site_id=1&mail=test18%40gmail.com,https://tamaritmotorcycles.com/contacto/,España,,test18@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 12:52:22+00"
24685,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/,España,,test18@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 12:30:09+00"
24684,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/series/byakko/,España,,test17@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 12:05:49+00"
24683,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/app/,España,,test16@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 11:44:02+00"
24682,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/app/,España,,test15@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 11:38:19+00"
24681,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/app/,España,,decimo_cuarta_prueba@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 11:34:04+00"
24680,es_ES,"Completo - Contacto General - Contact - Formulario de contacto",https://tamaritmotorcycles.com/contacto/,https://tamaritmotorcycles.com/1/,España,,decimo_tercera_prueba@gmail.com,"() ",,,,,No,77.229.132.181,"2025-05-29 11:29:16+00"
